0040000011000 20,17,10,16,02,03 220 219 921 15 111 42 81 14 0 39 31 6
0041000001000 20,17,12,16,02,03 220 219 921 27 106 22 88 14 0 39 25 10
1040000001000 20,17,13,16,02,03 220 219 921 22 106 27 76 14 0 55 38 6
0041000001000 20,17,14,16,02,03 220 219 921 9 81 24 84 14 0 49 25 12
0040100001000 20,17,02,16,02,03 220 219 1076 9 126 25 89 21 0 39 25 6
0040000101000 20,17,09,16,02,03 220 219 973 9 126 15 81 34 0 39 25 15
0040000101000 20,17,08,16,02,03 220 219 921 38 126 23 76 23 0 39 30 6
0041000001000 20,17,03,16,02,03 220 219 921 13 126 32 93 14 0 39 25 10
0041000001000 20,17,04,16,02,03 220 219 921 27 126 15 85 19 0 50 25 6
0041000001000 20,17,07,16,02,03 220 219 921 16 126 15 76 24 0 39 30 16
0040000101000 20,17,01,16,02,03 220 219 921 14 126 15 81 14 0 58 25 19
0041000001000 20,17,05,16,02,03 220 219 921 27 126 15 76 14 0 45 40 12
0041000001000 20,17,11,16,02,03 220 219 921 16 106 28 82 14 0 39 25 18
0041000001000 20,17,06,16,02,03 220 219 1029 9 126 22 76 39 0 39 25 10
0041000001000 20,02,07,16,02,03 220 217 1281 16 126 4 73 24 0 44 47 23
0040000011000 20,02,10,16,02,03 220 217 1281 15 111 31 78 14 0 44 48 13
0041000001000 20,02,05,16,02,03 220 217 1281 27 126 4 73 14 0 50 57 19
0040000101000 20,02,01,16,02,03 220 217 1281 14 126 4 78 14 0 63 42 26
0041000001000 20,02,12,16,02,03 220 217 1281 27 106 11 85 14 0 44 42 17
0040000101000 20,02,09,16,02,03 220 217 1333 9 126 4 78 34 0 44 42 22
0040100001000 20,02,02,16,02,03 220 217 1436 9 126 14 86 21 0 44 42 13
0041000001000 20,02,11,16,02,03 220 217 1281 16 106 17 79 14 0 44 42 25
0040000101000 20,02,08,16,02,03 220 217 1281 38 126 12 73 23 0 44 47 13
0041000001000 20,02,06,16,02,03 220 217 1389 9 126 11 73 39 0 44 42 17
0041000001000 20,02,03,16,02,03 220 217 1281 13 126 21 90 14 0 44 42 17
0041000001000 20,02,04,16,02,03 220 217 1281 27 126 4 82 19 0 55 42 13
1040000001000 20,02,13,16,02,03 220 217 1281 22 106 16 73 14 0 60 55 13
0041000001000 20,02,14,16,02,03 220 217 1281 9 81 13 81 14 0 54 42 19
0041000001000 14,17,11,16,02,03 265 216 870 16 106 28 86 14 0 51 25 20
0040000011000 14,17,10,16,02,03 265 216 870 15 111 42 85 14 0 51 31 8
0040000101000 14,17,09,16,02,03 265 216 922 9 126 15 85 34 0 51 25 17
1040000001000 14,17,13,16,02,03 265 216 870 22 106 27 80 14 0 67 38 8
0041000001000 14,17,05,16,02,03 265 216 870 27 126 15 80 14 0 57 40 14
0041000001000 14,17,06,16,02,03 265 216 978 9 126 22 80 39 0 51 25 12
0040100001000 14,17,02,16,02,03 265 216 1025 9 126 25 93 21 0 51 25 8
0041000001000 14,17,07,16,02,03 265 216 870 16 126 15 80 24 0 51 30 18
0041000001000 14,17,04,16,02,03 265 216 870 27 126 15 89 19 0 62 25 8
0041000001000 14,17,03,16,02,03 265 216 870 13 126 32 97 14 0 51 25 12
0041000001000 14,17,14,16,02,03 265 216 870 9 81 24 88 14 0 61 25 14
0040000101000 14,17,08,16,02,03 265 216 870 38 126 23 80 23 0 51 30 8
